refdes;pin;voltage;current
T5;3;11.9973;0.550673
T5;2;11.9973;0.550673
T5;1;11.9973;0.550673
IC12;10;-0.00107545;-0.826009
IC12;7;-0.00107545;-0.826009
IC10;5;3.29773;0.1621427286
IC10;6;3.29773;0.1621427286
IC10;7;3.29773;0.1621427286
IC10;8;3.29773;0.1621427286
IC10;9;3.29773;0.1621427286
IC10;10;3.29773;0.1621427286
IC10;11;3.29773;0.1621427286
IC10;26;-0.000648396;-0.05989999999999998
IC10;13;-0.000648396;-0.05989999999999998
IC10;14;-0.000648396;-0.05989999999999998
IC10;15;-0.000648396;-0.05989999999999998
IC10;16;-0.000648396;-0.05989999999999998
IC10;17;-0.000648396;-0.05989999999999998
IC10;18;-0.000648396;-0.05989999999999998
IC10;32;-0.000648396;-0.05989999999999998
IC10;39;-0.000648396;-0.05989999999999998
U10;5;1.7987;0.16125
U10;6;1.7987;0.16125
U10;15;1.7987;0.16125
U10;7;1.7987;0.16125
U10;21;-0.00065756;-0.08205870000000001
U10;3;-0.00065756;-0.08205870000000001
U10;4;-0.00065756;-0.08205870000000001
U10;19;-0.00065756;-0.08205870000000001
U10;17;-0.00065756;-0.08205870000000001
R139;2;5.49734;1.66701
IC11;9;-0.000992486;-0.6597200000000001
U9;H2;-5.50022;-0.0137889
U9;H1;-5.50022;-0.0137889
U9;G2;-5.50022;-0.0137889
U9;G1;-5.50022;-0.0137889
U9;F2;-5.50022;-0.0137889
U9;F1;-5.50022;-0.0137889
U9;E5;-5.50022;-0.0137889
U9;E4;-5.50022;-0.0137889
U9;E3;-5.50022;-0.0137889
U9;E2;-5.50022;-0.0137889
U9;E1;-5.50022;-0.0137889
U9;D5;-5.50022;-0.0137889
U9;D4;-5.50022;-0.0137889
U9;D3;-5.50022;-0.0137889
U9;D2;-5.50022;-0.0137889
U9;D1;-5.50022;-0.0137889
U9;C2;-5.50022;-0.0137889
U9;C1;-5.50022;-0.0137889
U9;H5;-0.000465084;0.042455099999999996
U9;H4;-0.000465084;0.042455099999999996
U9;H3;-0.000465084;0.042455099999999996
U9;G5;-0.000465084;0.042455099999999996
U9;G4;-0.000465084;0.042455099999999996
U9;G3;-0.000465084;0.042455099999999996
U9;F5;-0.000465084;0.042455099999999996
U9;F4;-0.000465084;0.042455099999999996
U9;F3;-0.000465084;0.042455099999999996
IC22;7;12.9998;0.2001
IC22;5;0.0;0.0
IC22;4;-12.9998;-0.2001
IC3;10;2.4989;-0.0324491
IC3;9;2.49893;-0.0324747
IC3;4;2.499;-0.03253
IC3;3;2.49902;-0.032546
IC3;25;5.39272e-05;0.0
R106;2;2.49965;-0.01
LD6;1;0.000127283;0.01
IC20;18;1.79962;-0.014401
IC20;21;1.79964;-0.0144092
IC20;26;1.79962;-0.0143985
IC20;29;1.7996;-0.0143881
IC20;32;1.79959;-0.0143791
IC20;34;1.79958;-0.0143751
IC20;39;1.79951;-0.0143277
IC20;40;1.7995;-0.0143216
IC20;45;0.000213913;0.235
IC2;15;1.79864;-0.0574827
IC2;16;1.79865;-0.0574843
IC2;51;1.79865;-0.0574863
IC2;52;1.7988;-0.0575465
IC2;53;0.00024733;0.0255682
IC2;2;0.000265123;0.0255608
IC2;5;0.000264487;0.0255611
IC2;13;0.000277602;0.0255557
IC2;22;0.00026698;0.0255601
IC2;33;0.000334819;0.0655319
IC2;45;0.000281022;0.0255542
IC2;47;0.000282841;0.0255535
IC2;49;0.000281283;0.0255541
JB1;16;3.29612;-0.0714525
JB1;14;3.29611;-0.0714498
JB1;12;3.2961;-0.0714473
JB1;10;3.29609;-0.0714418
JB1;6;3.29602;-0.071407
JB1;4;3.29602;-0.0714043
JB1;2;3.296;-0.0713975
JB1;F1;-0.000108742;0.0277553
JB1;F2;-0.000393869;0.0278968
JB1;54;-0.000185628;0.0277935
JB1;53;-0.000128706;0.0277652
JB1;43;-8.8912e-05;0.0277455
JB1;33;-8.86843e-05;0.0277454
JB1;30;-0.000131662;0.0277667
JB1;25;-7.55034e-05;0.0277388
JB1;19;-4.85411e-05;0.0277255
JB1;7;-4.40913e-05;0.0277233
JB1;1;-3.9258e-05;0.0277209
JB1;63;-0.000131682;0.0277667
JB1;64;-0.000176296;0.0277888
JB1;73;-0.000182186;0.0277918
JB1;74;-0.000239781;0.0278203
JB1;83;-0.00018655;0.0277939
JB1;89;-0.00023289;0.0278169
JB1;90;-0.00028921;0.0278448
JB2;7;3.29594;-0.124994
JB2;5;3.29594;-0.124996
JB2;3;3.29594;-0.124996
JB2;1;3.29596;-0.125014
JB2;F1;8.44812e-05;0.0668637
JB2;F2;-7.15954e-05;0.0671433
JB2;60;0.0002356;0.06659290000000001
JB2;59;0.000244906;0.0665763
JB2;50;0.000233902;0.066596
JB2;49;0.000259073;0.0665508
JB2;40;0.000230595;0.06660189999999999
JB2;39;0.000239204;0.06658649999999999
JB2;29;0.000244675;0.0665766
JB2;19;0.000243099;0.0665795
JB2;69;0.000226604;0.066609
JB2;70;0.00019348;0.06666839999999999
JB2;79;0.000210448;0.066638
JB2;80;0.000195134;0.0666655
JB2;89;0.000147578;0.0667506
IC4;5;3.29642;-0.001
IC4;3;7.87403e-05;0.001
IC5;5;3.29642;-0.001
IC5;3;6.75687e-05;0.001
IC15;4;3.29647;-0.016
IC15;2;-0.000273931;0.016
IC6;21;3.29649;-0.00249967
IC6;17;3.29652;-0.00250033
IC6;11;-0.00029351;0.00333332
IC6;2;-0.000292847;0.00333329
IC6;25;-0.000294534;0.00333339
IC1;3;3.29642;-0.000499999
IC1;2;3.29642;-0.000500001
IC1;9;4.18968e-05;0.000499997
IC1;1;4.07355e-05;0.000500003
J4;34;3.29632;-0.1
J4;10;-7.13828e-05;0.0100144
J4;7;-0.000105518;0.0100332
J4;4;-0.000107901;0.0100345
J4;1;-0.00013668;0.0100503
J4;19;-2.19066e-05;0.00998718
J4;16;-2.6781e-05;0.00998986
