x;y;layer1;layer2;voltage1;voltage2;current
-7.43899;1608.62;TOP;GP1_GND_;5.83381e-05;5.83381e-05;3.32514e-16
-7.43899;1608.62;GP1_GND_;L3;5.83381e-05;5.83381e-05;-6.21111e-16
-7.43899;1608.62;L3;L4;5.83381e-05;5.83381e-05;-4.98771e-16
-7.43899;1608.62;L4;P3V3;5.83381e-05;5.83381e-05;-4.51717e-16
-7.43899;1608.62;P3V3;BOT;5.83381e-05;5.83381e-05;-4.98771e-16
-7.43899;1808.62;TOP;GP1_GND_;6.29185e-05;6.29185e-05;3.32514e-16
-7.43899;1808.62;GP1_GND_;L3;6.29185e-05;6.29185e-05;-6.77575e-16
-7.43899;1808.62;L3;L4;6.29185e-05;6.29185e-05;-3.32514e-16
-7.43899;1808.62;L4;P3V3;6.29185e-05;6.29185e-05;-5.64646e-16
-7.43899;1808.62;P3V3;BOT;6.29185e-05;6.29185e-05;-3.32514e-16
-7.43899;2277.91;TOP;GP1_GND_;7.53645e-05;7.53645e-05;3.32514e-16
-7.43899;2277.91;GP1_GND_;L3;7.53645e-05;7.53645e-05;-6.77575e-16
-7.43899;2277.91;L3;L4;7.53645e-05;7.53645e-05;-6.65028e-16
-7.43899;2277.91;L4;P3V3;7.53645e-05;7.53645e-05;-6.77575e-16
-7.43899;2277.91;P3V3;BOT;7.53645e-05;7.53645e-05;-6.65028e-16
-7.43899;2477.91;TOP;GP1_GND_;7.9288e-05;7.9288e-05;3.32514e-16
-7.43899;2477.91;GP1_GND_;L3;7.9288e-05;7.9288e-05;-3.38788e-16
-7.43899;2477.91;L3;L4;7.9288e-05;7.9288e-05;-3.32514e-16
-7.43899;2477.91;L4;P3V3;7.9288e-05;7.9288e-05;-0
-7.43899;2477.91;P3V3;BOT;7.9288e-05;7.9288e-05;-0
70.0075;463.671;TOP;GP1_GND_;2.98224e-05;2.98224e-05;1.30787e-16
70.0075;463.671;GP1_GND_;L3;2.98224e-05;2.98224e-05;-1.18449e-16
