vrefdes,vpin,refdes,pin
VCOMP0,0,IC3,10
VCOMP0,1,IC3,9
VCOMP0,2,IC3,4
VCOMP0,3,IC3,3
VCOMP0,4,IC3,25
VCOMP1,0,R106,2
VCOMP1,1,LD6,1
VCOMP2,0,IC20,18
VCOMP2,1,IC20,21
VCOMP2,2,IC20,26
VCOMP2,3,IC20,29
VCOMP2,4,IC20,32
VCOMP2,5,IC20,34
VCOMP2,6,IC20,39
VCOMP2,7,IC20,40
VCOMP2,8,IC20,45
VCOMP3,0,IC2,15
VCOMP3,1,IC2,16
VCOMP3,2,IC2,51
VCOMP3,3,IC2,52
VCOMP3,4,IC2,53
VCOMP3,5,IC2,2
VCOMP3,6,IC2,5
VCOMP3,7,IC2,13
VCOMP3,8,IC2,22
VCOMP3,9,IC2,33
VCOMP3,10,IC2,45
VCOMP3,11,IC2,47
VCOMP3,12,IC2,49
VCOMP4,0,JB1,16
VCOMP4,1,JB1,14
VCOMP4,2,JB1,12
VCOMP4,3,JB1,10
VCOMP4,4,JB1,6
VCOMP4,5,JB1,4
VCOMP4,6,JB1,2
VCOMP4,7,JB1,F1
VCOMP4,8,JB1,F2
VCOMP4,9,JB1,54
VCOMP4,10,JB1,53
VCOMP4,11,JB1,43
VCOMP4,12,JB1,33
VCOMP4,13,JB1,30
VCOMP4,14,JB1,25
VCOMP4,15,JB1,19
VCOMP4,16,JB1,7
VCOMP4,17,JB1,1
VCOMP4,18,JB1,63
VCOMP4,19,JB1,64
VCOMP4,20,JB1,73
VCOMP4,21,JB1,74
VCOMP4,22,JB1,83
VCOMP4,23,JB1,89
VCOMP4,24,JB1,90
VCOMP5,0,JB2,7
VCOMP5,1,JB2,5
VCOMP5,2,JB2,3
VCOMP5,3,JB2,1
VCOMP5,4,JB2,F1
VCOMP5,5,JB2,F2
VCOMP5,6,JB2,60
VCOMP5,7,JB2,59
VCOMP5,8,JB2,50
VCOMP5,9,JB2,49
VCOMP5,10,JB2,40
VCOMP5,11,JB2,39
VCOMP5,12,JB2,29
VCOMP5,13,JB2,19
VCOMP5,14,JB2,69
VCOMP5,15,JB2,70
VCOMP5,16,JB2,79
VCOMP5,17,JB2,80
VCOMP5,18,JB2,89
VCOMP6,0,IC4,5
VCOMP6,1,IC4,3
VCOMP7,0,IC5,5
VCOMP7,1,IC5,3
VCOMP8,0,IC15,4
VCOMP8,1,IC15,2
VCOMP9,0,IC6,21
VCOMP9,1,IC6,17
VCOMP9,2,IC6,11
VCOMP9,3,IC6,2
VCOMP9,4,IC6,25
VCOMP10,0,IC1,3
VCOMP10,1,IC1,2
VCOMP10,2,IC1,9
VCOMP10,3,IC1,1
VCOMP11,0,J4,34
VCOMP11,1,J4,10
VCOMP11,2,J4,7
VCOMP11,3,J4,4
VCOMP11,4,J4,1
VCOMP11,5,J4,19
VCOMP11,6,J4,16
VCOMP11,7,J4,13
VCOMP11,8,J4,30
VCOMP11,9,J4,25
VCOMP11,10,J4,22
VCOMP12,0,U6,32
VCOMP12,1,U6,31
VCOMP12,2,U6,33
VCOMP12,3,U6,29
VCOMP12,4,U6,19
VCOMP12,5,U6,6
VCOMP12,6,U6,5
VCOMP12,7,U6,1
VCOMP13,0,U7,14
VCOMP13,1,U7,25
VCOMP13,2,U7,15
VCOMP13,3,U7,18
VCOMP13,4,U7,19
VCOMP13,5,U7,20
VCOMP13,6,U7,21
VCOMP13,7,U7,1
VCOMP14,0,IC2,34
VCOMP14,1,IC2,33
VCOMP15,0,IC6,5
VCOMP15,1,IC6,11
VCOMP15,2,IC6,2
VCOMP15,3,IC6,25
VCOMP16,0,JB2,6
VCOMP16,1,JB2,4
VCOMP16,2,JB2,2
VCOMP16,3,JB2,F1
VCOMP16,4,JB2,F2
VCOMP16,5,JB2,60
VCOMP16,6,JB2,59
VCOMP16,7,JB2,50
VCOMP16,8,JB2,49
VCOMP16,9,JB2,40
VCOMP16,10,JB2,39
VCOMP16,11,JB2,29
VCOMP16,12,JB2,19
VCOMP16,13,JB2,69
VCOMP16,14,JB2,70
VCOMP16,15,JB2,79
VCOMP16,16,JB2,80
VCOMP16,17,JB2,89
VCOMP17,0,J15,1
VCOMP17,1,JB3,F2
VCOMP17,2,JB3,F1
VCOMP17,3,JB3,5
VCOMP17,4,JB3,6
VCOMP17,5,JB3,11
VCOMP17,6,JB3,12
VCOMP17,7,JB3,17
VCOMP17,8,JB3,18
VCOMP17,9,JB3,23
VCOMP17,10,JB3,24
VCOMP17,11,JB3,29
VCOMP17,12,JB3,30
VCOMP17,13,JB3,35
VCOMP17,14,JB3,36
VCOMP17,15,JB3,45
VCOMP17,16,JB3,46
VCOMP17,17,JB3,55
VCOMP18,0,T5,3
VCOMP18,1,T5,2
VCOMP18,2,T5,1
VCOMP18,3,IC12,10
VCOMP18,4,IC12,7
VCOMP19,0,U5A,2
VCOMP19,1,U5A,10
VCOMP19,2,U5A,11
VCOMP19,3,U5A,3
VCOMP19,4,U5A,9
VCOMP19,5,U5A,12
VCOMP19,6,U5A,17
VCOMP20,0,U5B,11
VCOMP20,1,U5B,10
VCOMP20,2,U5B,2
VCOMP20,3,U5B,17
VCOMP20,4,U5B,12
VCOMP20,5,U5B,9
VCOMP20,6,U5B,3
VCOMP21,0,U6,3
VCOMP21,1,U6,33
VCOMP21,2,U6,29
VCOMP21,3,U6,19
VCOMP21,4,U6,6
VCOMP21,5,U6,5
VCOMP21,6,U6,1
VCOMP22,0,IC20,8
VCOMP22,1,IC20,9
VCOMP22,2,IC20,45
VCOMP23,0,U1,17
VCOMP23,1,U1,26
VCOMP23,2,U1,6
VCOMP24,0,U4A,6
VCOMP24,1,U4A,17
VCOMP25,0,U4B,6
VCOMP25,1,U4B,17
VCOMP26,0,IC3,22
VCOMP26,1,IC3,21
VCOMP26,2,IC3,16
VCOMP26,3,IC3,15
VCOMP26,4,IC3,25
VCOMP27,0,U4A,12
VCOMP27,1,U4A,4
VCOMP27,2,U4A,17
VCOMP28,0,U4B,12
VCOMP28,1,U4B,4
VCOMP28,2,U4B,17
VCOMP29,0,J16,15
VCOMP29,1,J16,13
VCOMP29,2,J16,1
VCOMP29,3,J16,4
VCOMP29,4,J16,7
VCOMP29,5,J16,10
VCOMP30,0,J3,25
VCOMP30,1,J3,21
VCOMP30,2,J3,23
VCOMP30,3,J3,24
VCOMP30,4,J3,11
VCOMP30,5,J3,12
VCOMP30,6,J3,14
VCOMP30,7,J3,15
VCOMP30,8,J3,18
VCOMP30,9,J3,17
VCOMP30,10,J3,20
VCOMP30,11,J3,2
VCOMP30,12,J3,3
VCOMP30,13,J3,6
VCOMP30,14,J3,5
VCOMP30,15,J3,8
VCOMP30,16,J3,9
VCOMP31,0,J3,26
VCOMP31,1,J3,21
VCOMP31,2,J3,23
VCOMP31,3,J3,24
VCOMP31,4,J3,11
VCOMP31,5,J3,12
VCOMP31,6,J3,14
VCOMP31,7,J3,15
VCOMP31,8,J3,18
VCOMP31,9,J3,17
VCOMP31,10,J3,20
VCOMP31,11,J3,2
VCOMP31,12,J3,3
VCOMP31,13,J3,6
VCOMP31,14,J3,5
VCOMP31,15,J3,8
VCOMP31,16,J3,9
VCOMP32,0,J16,16
VCOMP32,1,J16,13
VCOMP32,2,J16,1
VCOMP32,3,J16,4
VCOMP32,4,J16,7
VCOMP32,5,J16,10
VCOMP33,0,IC10,5
VCOMP33,1,IC10,6
VCOMP33,2,IC10,7
VCOMP33,3,IC10,8
VCOMP33,4,IC10,9
VCOMP33,5,IC10,10
VCOMP33,6,IC10,11
VCOMP33,7,IC9,8
VCOMP33,8,IC9,11
VCOMP34,0,IC10,5
VCOMP34,1,IC10,6
VCOMP34,2,IC10,7
VCOMP34,3,IC10,8
VCOMP34,4,IC10,9
VCOMP34,5,IC10,10
VCOMP34,6,IC10,11
VCOMP34,7,IC16,11
VCOMP34,8,IC16,8
VCOMP35,0,IC18,6
VCOMP35,1,IC18,2
VCOMP35,2,IC18,1
VCOMP35,3,IC18,11
VCOMP35,4,IC18,8
VCOMP35,5,IC18,5
VCOMP36,0,IC19,1
VCOMP36,1,IC19,2
VCOMP36,2,IC19,8
VCOMP36,3,IC19,11
VCOMP37,0,IC17,2
VCOMP37,1,IC17,1
VCOMP38,0,IC8,2
VCOMP38,1,IC8,1
VCOMP39,0,IC21,2
VCOMP39,1,IC21,1
VCOMP39,2,IC21,11
VCOMP39,3,IC21,8
VCOMP39,4,IC21,5
VCOMP40,0,IC23,2
VCOMP40,1,IC23,1
VCOMP41,0,IC10,5
VCOMP41,1,IC10,6
VCOMP41,2,IC10,7
VCOMP41,3,IC10,8
VCOMP41,4,IC10,9
VCOMP41,5,IC10,10
VCOMP41,6,IC10,11
VCOMP41,7,IC10,26
VCOMP41,8,IC10,13
VCOMP41,9,IC10,14
VCOMP41,10,IC10,15
VCOMP41,11,IC10,16
VCOMP41,12,IC10,17
VCOMP41,13,IC10,18
VCOMP41,14,IC10,32
VCOMP41,15,IC10,39
VCOMP42,0,IC10,20
VCOMP42,1,IC10,21
VCOMP42,2,IC10,19
VCOMP42,3,IC10,33
VCOMP42,4,IC10,26
VCOMP42,5,IC10,13
VCOMP42,6,IC10,14
VCOMP42,7,IC10,15
VCOMP42,8,IC10,16
VCOMP42,9,IC10,17
VCOMP42,10,IC10,18
VCOMP42,11,IC10,32
VCOMP42,12,IC10,39
VCOMP43,0,U10,5
VCOMP43,1,U10,6
VCOMP43,2,U10,15
VCOMP43,3,U10,7
VCOMP43,4,U10,21
VCOMP43,5,U10,3
VCOMP43,6,U10,4
VCOMP43,7,U10,19
VCOMP43,8,U10,17
VCOMP44,0,U10,1
VCOMP44,1,U10,2
VCOMP44,2,U10,18
VCOMP44,3,U10,21
VCOMP44,4,U10,3
VCOMP44,5,U10,4
VCOMP44,6,U10,19
VCOMP44,7,U10,17
VCOMP45,0,R139,2
VCOMP45,1,IC11,9
VCOMP46,0,IC11,pdna_pin_8_1
VCOMP46,1,IC11,pdna_pin_8_2
VCOMP46,2,IC11,pdna_pin_8_3
VCOMP46,3,IC11,pdna_pin_8_4
VCOMP46,4,IC11,9
