refdes,pin,voltage,current,rpin
VCOMP18,VCOMP18-0,11.9973,0.550673,0
VCOMP18,VCOMP18-1,11.9973,0.550673,0
VCOMP18,VCOMP18-2,11.9973,0.550673,0
VCOMP18,VCOMP18-3,-0.00107545,-0.826009,0
VCOMP18,VCOMP18-4,-0.00107545,-0.826009,0
VCOMP41,VCOMP41-0,3.29773,0.231457,0
VCOMP41,VCOMP41-1,3.29773,0.231457,0
VCOMP41,VCOMP41-2,3.29773,0.231457,0
VCOMP41,VCOMP41-3,3.29773,0.231457,0
VCOMP41,VCOMP41-4,3.29773,0.231457,0
VCOMP41,VCOMP41-5,3.29773,0.231457,0
VCOMP41,VCOMP41-6,3.29773,0.231457,0
VCOMP41,VCOMP41-7,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-8,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-9,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-10,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-11,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-12,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-13,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-14,-0.000648396,-0.180022,0
VCOMP41,VCOMP41-15,-0.000648396,-0.180022,0
VCOMP43,VCOMP43-0,1.7987,0.16125,0
VCOMP43,VCOMP43-1,1.7987,0.16125,0
VCOMP43,VCOMP43-2,1.7987,0.16125,0
VCOMP43,VCOMP43-3,1.7987,0.16125,0
VCOMP43,VCOMP43-4,-0.00065756,-0.129,0
VCOMP43,VCOMP43-5,-0.00065756,-0.129,0
VCOMP43,VCOMP43-6,-0.00065756,-0.129,0
VCOMP43,VCOMP43-7,-0.00065756,-0.129,0
VCOMP43,VCOMP43-8,-0.00065756,-0.129,0
VCOMP45,VCOMP45-0,5.49734,1.66701,0
VCOMP45,VCOMP45-1,-0.000992486,-1.66701,0
VCOMP47,VCOMP47-0,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-1,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-2,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-3,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-4,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-5,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-6,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-7,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-8,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-9,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-10,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-11,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-12,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-13,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-14,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-15,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-16,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-17,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-18,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-19,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-20,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-21,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-22,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-23,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-24,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-25,-0.000465084,0.0275778,0
VCOMP47,VCOMP47-26,-0.000465084,0.0275778,0
VCOMP49,VCOMP49-0,12.9998,0.2001,0
VCOMP49,VCOMP49-1,0,-0.2001,0
VCOMP51,VCOMP51-0,-12.9998,-0.2001,0
VCOMP51,VCOMP51-1,0,0.2001,0
VCOMP0,VCOMP0-0,2.4989,-0.0324491,1.23077
VCOMP0,VCOMP0-1,2.49893,-0.0324747,1.23077
VCOMP0,VCOMP0-2,2.499,-0.03253,1.23077
VCOMP0,VCOMP0-3,2.49902,-0.032546,1.23077
VCOMP0,VCOMP0-4,5.39272e-05,0.13,1.23077
VCOMP1,VCOMP1-0,2.49965,-0.01,10
