refdes,pin,voltage,current
T5,3,11.9974,0.514641
T5,2,11.9974,0.514641
T5,1,11.9974,0.514641
IC12,10,-0.00104805,-0.771961
IC12,7,-0.00104805,-0.771961
IC10,5,3.29773,0.1621427286
IC10,6,3.29773,0.1621427286
IC10,7,3.29773,0.1621427286
IC10,8,3.29773,0.1621427286
IC10,9,3.29773,0.1621427286
IC10,10,3.29773,0.1621427286
IC10,11,3.29773,0.1621427286
IC10,26,-0.000651975,-0.059912999999999994
IC10,13,-0.000651975,-0.059912999999999994
IC10,14,-0.000651975,-0.059912999999999994
IC10,15,-0.000651975,-0.059912999999999994
IC10,16,-0.000651975,-0.059912999999999994
IC10,17,-0.000651975,-0.059912999999999994
IC10,18,-0.000651975,-0.059912999999999994
IC10,32,-0.000651975,-0.059912999999999994
IC10,39,-0.000651975,-0.059912999999999994
U10,5,1.79869,0.16125
U10,6,1.79869,0.16125
U10,15,1.79869,0.16125
U10,7,1.79869,0.16125
U10,21,-0.000660684,-0.0820602
U10,3,-0.000660684,-0.0820602
U10,4,-0.000660684,-0.0820602
U10,19,-0.000660684,-0.0820602
U10,17,-0.000660684,-0.0820602
R139,2,5.4973,1.66688
IC11,9,-0.00103602,-0.7674629999999999
U9,H2,-5.50022,-0.0137889
U9,H1,-5.50022,-0.0137889
U9,G2,-5.50022,-0.0137889
U9,G1,-5.50022,-0.0137889
U9,F2,-5.50022,-0.0137889
U9,F1,-5.50022,-0.0137889
U9,E5,-5.50022,-0.0137889
U9,E4,-5.50022,-0.0137889
U9,E3,-5.50022,-0.0137889
U9,E2,-5.50022,-0.0137889
U9,E1,-5.50022,-0.0137889
U9,D5,-5.50022,-0.0137889
U9,D4,-5.50022,-0.0137889
U9,D3,-5.50022,-0.0137889
U9,D2,-5.50022,-0.0137889
U9,D1,-5.50022,-0.0137889
U9,C2,-5.50022,-0.0137889
U9,C1,-5.50022,-0.0137889
U9,H5,-0.000465552,0.042453
U9,H4,-0.000465552,0.042453
U9,H3,-0.000465552,0.042453
U9,G5,-0.000465552,0.042453
U9,G4,-0.000465552,0.042453
U9,G3,-0.000465552,0.042453
U9,F5,-0.000465552,0.042453
U9,F4,-0.000465552,0.042453
U9,F3,-0.000465552,0.042453
IC22,7,12.9998,0.2001
IC22,5,0.0,0.0
IC22,4,-12.9998,-0.2001
IC3,10,2.49906,-0.0324491
IC3,9,2.49909,-0.0324747
IC3,4,2.49916,-0.03253
IC3,3,2.49918,-0.032546
IC3,25,5.7336e-05,0.0
R106,2,2.49981,-0.01
LD6,1,0.000130193,0.01
IC20,18,1.79978,-0.014401
IC20,21,1.79979,-0.0144092
IC20,26,1.79977,-0.0143985
IC20,29,1.79976,-0.0143881
IC20,32,1.79974,-0.0143791
IC20,34,1.79974,-0.0143751
IC20,39,1.79966,-0.0143277
IC20,40,1.79965,-0.0143216
IC20,45,0.000217213,0.235
IC2,15,1.7988,-0.0574828
IC2,16,1.7988,-0.0574843
IC2,51,1.79881,-0.0574862
IC2,52,1.79895,-0.0575464
IC2,53,0.000249746,0.0255682
IC2,2,0.000267516,0.0255609
IC2,5,0.000266922,0.0255611
IC2,13,0.000280021,0.0255557
IC2,22,0.000269312,0.0255601
IC2,33,0.000337229,0.0655319
IC2,45,0.000283436,0.0255542
IC2,47,0.000285257,0.0255535
IC2,49,0.0002837,0.0255541
JB1,16,3.29611,-0.0714525
JB1,14,3.29611,-0.0714498
JB1,12,3.2961,-0.0714473
JB1,10,3.29609,-0.0714418
JB1,6,3.29602,-0.071407
JB1,4,3.29601,-0.0714043
JB1,2,3.296,-0.0713975
JB1,F1,-0.000104929,0.0277549
JB1,F2,-0.000392929,0.0278978
JB1,54,-0.000181766,0.027793
JB1,53,-0.000125726,0.0277652
JB1,43,-8.60054e-05,0.0277455
JB1,33,-8.53664e-05,0.0277452
JB1,30,-0.00012761,0.0277662
JB1,25,-7.20817e-05,0.0277386
JB1,19,-4.52973e-05,0.0277253
JB1,7,-4.05421e-05,0.027723
JB1,1,-3.56806e-05,0.0277206
JB1,63,-0.000129169,0.0277669
JB1,64,-0.000173043,0.0277887
JB1,73,-0.000179697,0.027792
JB1,74,-0.000236363,0.0278201
JB1,83,-0.000184696,0.0277945
JB1,89,-0.000231068,0.0278175
JB1,90,-0.000286454,0.027845
JB2,7,3.29593,-0.124994
JB2,5,3.29594,-0.124996
JB2,3,3.29594,-0.124996
JB2,1,3.29596,-0.125014
JB2,F1,8.60793e-05,0.0668618
JB2,F2,-7.19793e-05,0.0671451
JB2,60,0.000236175,0.06659290000000001
JB2,59,0.000245358,0.06657640000000001
JB2,50,0.000234698,0.0665956
JB2,49,0.000259634,0.0665508
JB2,40,0.000231502,0.0666013
JB2,39,0.00023993,0.06658610000000001
JB2,29,0.000245631,0.0665759
JB2,19,0.000244133,0.0665786
JB2,69,0.00022689,0.06660959999999999
JB2,70,0.000193946,0.06666849999999999
JB2,79,0.000210621,0.0666387
JB2,80,0.000195419,0.066666
JB2,89,0.000147585,0.0667516
IC4,5,3.29642,-0.001
IC4,3,8.18851e-05,0.001
IC5,5,3.29642,-0.001
IC5,3,7.08474e-05,0.001
IC15,4,3.29647,-0.016
IC15,2,-0.000268689,0.016
IC6,21,3.29649,-0.00249967
IC6,17,3.29652,-0.00250033
IC6,11,-0.000288267,0.00333334
