x,y,layer1,layer2,voltage1,voltage2,current
-7.43899,1608.62,TOP,GP1_GND_,6.16714e-05,6.16714e-05,3.32514e-16
-7.43899,1608.62,GP1_GND_,L3,6.16714e-05,6.16714e-05,-6.77575e-16
-7.43899,1608.62,L3,L4,6.16714e-05,6.16714e-05,-6.65028e-16
-7.43899,1608.62,L4,P3V3,6.16714e-05,6.16714e-05,-5.64646e-16
-7.43899,1608.62,P3V3,BOT,6.16714e-05,6.16714e-05,-3.32514e-16
-7.43899,1808.62,TOP,GP1_GND_,6.62098e-05,6.62098e-05,3.32514e-16
-7.43899,1808.62,GP1_GND_,L3,6.62098e-05,6.62098e-05,-3.38788e-16
-7.43899,1808.62,L3,L4,6.62098e-05,6.62098e-05,-0
-7.43899,1808.62,L4,P3V3,6.62098e-05,6.62098e-05,-0
-7.43899,1808.62,P3V3,BOT,6.62098e-05,6.62098e-05,-0
-7.43899,2277.91,TOP,GP1_GND_,7.85396e-05,7.85396e-05,-0
-7.43899,2277.91,GP1_GND_,L3,7.85396e-05,7.85396e-05,-2.25859e-16
-7.43899,2277.91,L3,L4,7.85396e-05,7.85396e-05,-0
-7.43899,2277.91,L4,P3V3,7.85396e-05,7.85396e-05,-1.12929e-16
-7.43899,2277.91,P3V3,BOT,7.85396e-05,7.85396e-05,-0
-7.43899,2477.91,TOP,GP1_GND_,8.24258e-05,8.24258e-05,3.32514e-16
-7.43899,2477.91,GP1_GND_,L3,8.24258e-05,8.24258e-05,-9.03434e-16
-7.43899,2477.91,L3,L4,8.24258e-05,8.24258e-05,-6.65028e-16
-7.43899,2477.91,L4,P3V3,8.24258e-05,8.24258e-05,-7.90505e-16
-7.43899,2477.91,P3V3,BOT,8.24258e-05,8.24258e-05,-3.32514e-16
70.0075,463.671,TOP,GP1_GND_,3.34108e-05,3.34108e-05,1.74383e-16
70.0075,463.671,GP1_GND_,L3,3.34108e-05,3.34108e-05,-1.18449e-16
70.0075,463.671,L3,L4,3.34108e-05,3.34108e-05,-1.74383e-16
70.0075,463.671,L4,P3V3,3.34108e-05,3.34108e-05,-2.07286e-16
70.0075,463.671,P3V3,BOT,3.34108e-05,3.34108e-05,-2.61575e-16
70.0075,999.103,TOP,GP1_GND_,4.6867e-05,4.6867e-05,1.74383e-16
70.0075,999.103,GP1_GND_,L3,4.6867e-05,4.6867e-05,-2.07286e-16
