refdes;pin;voltage;current
T5;3;11.9962;0.805556
T5;2;11.9962;0.805556
T5;1;11.9962;0.805556
IC12;10;-0.00135618;-1.20833
IC12;7;-0.00135618;-1.20833
IC10;5;3.2978;0.1621427286
IC10;6;3.2978;0.1621427286
IC10;7;3.2978;0.1621427286
IC10;8;3.2978;0.1621427286
IC10;9;3.2978;0.1621427286
IC10;10;3.2978;0.1621427286
IC10;11;3.2978;0.1621427286
IC10;26;-0.000578672;-0.031873999999999986
IC10;13;-0.000578672;-0.031873999999999986
IC10;14;-0.000578672;-0.031873999999999986
IC10;15;-0.000578672;-0.031873999999999986
IC10;16;-0.000578672;-0.031873999999999986
IC10;17;-0.000578672;-0.031873999999999986
IC10;18;-0.000578672;-0.031873999999999986
IC10;32;-0.000578672;-0.031873999999999986
IC10;39;-0.000578672;-0.031873999999999986
U10;5;1.79867;0.16125
U10;6;1.79867;0.16125
U10;15;1.79867;0.16125
U10;7;1.79867;0.16125
U10;21;-0.000682743;-0.09263640000000001
U10;3;-0.000682743;-0.09263640000000001
U10;4;-0.000682743;-0.09263640000000001
U10;19;-0.000682743;-0.09263640000000001
U10;17;-0.000682743;-0.09263640000000001
R139;2;5.49723;1.86635
IC11;9;-0.00090573;-0.24869999999999992
U9;H2;-5.50028;-0.0137889
U9;H1;-5.50028;-0.0137889
U9;G2;-5.50028;-0.0137889
U9;G1;-5.50028;-0.0137889
U9;F2;-5.50028;-0.0137889
U9;F1;-5.50028;-0.0137889
U9;E5;-5.50028;-0.0137889
U9;E4;-5.50028;-0.0137889
U9;E3;-5.50028;-0.0137889
U9;E2;-5.50028;-0.0137889
U9;E1;-5.50028;-0.0137889
U9;D5;-5.50028;-0.0137889
U9;D4;-5.50028;-0.0137889
U9;D3;-5.50028;-0.0137889
U9;D2;-5.50028;-0.0137889
U9;D1;-5.50028;-0.0137889
U9;C2;-5.50028;-0.0137889
U9;C1;-5.50028;-0.0137889
U9;H5;-0.000526046;0.0455516
U9;H4;-0.000526046;0.0455516
U9;H3;-0.000526046;0.0455516
U9;G5;-0.000526046;0.0455516
U9;G4;-0.000526046;0.0455516
U9;G3;-0.000526046;0.0455516
U9;F5;-0.000526046;0.0455516
U9;F4;-0.000526046;0.0455516
U9;F3;-0.000526046;0.0455516
IC22;7;12.9998;0.2001
IC22;5;0.0;0.0
IC22;4;-12.9998;-0.2001
IC3;10;2.49677;-0.0324491
IC3;9;2.4968;-0.0324747
IC3;4;2.49687;-0.03253
IC3;3;2.49689;-0.032546
IC3;25;-6.45787e-06;0.0
R106;2;2.49752;-0.01
LD6;1;7.459e-05;0.01
IC20;18;1.79749;-0.014401
IC20;21;1.79751;-0.0144092
IC20;26;1.79749;-0.0143985
IC20;29;1.79747;-0.0143881
IC20;32;1.79746;-0.0143791
IC20;34;1.79745;-0.0143751
IC20;39;1.79738;-0.0143277
IC20;40;1.79737;-0.0143216
IC20;45;0.000154739;0.235
IC2;15;1.79651;-0.0574827
IC2;16;1.79652;-0.0574843
IC2;51;1.79652;-0.0574863
IC2;52;1.79667;-0.0575465
IC2;53;0.000202125;0.0255683
IC2;2;0.000219396;0.0255611
IC2;5;0.000218929;0.0255613
IC2;13;0.000232365;0.0255557
IC2;22;0.000223387;0.0255594
IC2;33;0.000289709;0.0655319
IC2;45;0.000235803;0.0255543
IC2;47;0.000237575;0.0255535
IC2;49;0.000235963;0.0255542
JB1;16;3.29619;-0.0714525
JB1;14;3.29618;-0.0714498
JB1;12;3.29617;-0.0714473
JB1;10;3.29616;-0.0714418
JB1;6;3.29609;-0.071407
JB1;4;3.29609;-0.0714043
JB1;2;3.29607;-0.0713975
JB1;F1;-0.000178547;0.0277566
JB1;F2;-0.00045414;0.0278933
JB1;54;-0.000262899;0.0277984
JB1;53;-0.000194638;0.0277646
JB1;43;-0.000151757;0.0277433
JB1;33;-0.000155844;0.0277453
JB1;30;-0.00020774;0.0277711
JB1;25;-0.000143065;0.027739
JB1;19;-0.000112859;0.027724
JB1;7;-0.000111565;0.0277233
JB1;1;-0.000106808;0.027721
JB1;63;-0.000192685;0.0277636
JB1;64;-0.00024758;0.0277908
JB1;73;-0.000246288;0.0277902
JB1;74;-0.000316161;0.0278248
JB1;83;-0.000244139;0.0277891
JB1;89;-0.000293646;0.0278137
JB1;90;-0.000363038;0.0278481
JB2;7;3.29601;-0.124994
JB2;5;3.29601;-0.124996
JB2;3;3.29601;-0.124996
JB2;1;3.29603;-0.125014
JB2;F1;5.01683e-05;0.0668912
JB2;F2;-7.74959e-05;0.0671199
