vrefdes,id
VCOMP0,0
VCOMP1,1
VCOMP2,2
VCOMP3,3
VCOMP4,4
VCOMP5,5
VCOMP6,6
VCOMP7,7
VCOMP8,8
VCOMP9,9
VCOMP10,10
VCOMP11,11
VCOMP12,12
VCOMP13,13
VCOMP14,14
VCOMP15,15
VCOMP16,16
VCOMP17,17
VCOMP18,18
VCOMP19,19
VCOMP20,20
VCOMP21,21
VCOMP22,22
VCOMP23,23
VCOMP24,24
VCOMP25,25
VCOMP26,26
VCOMP27,27
VCOMP28,28
VCOMP29,29
VCOMP30,30
VCOMP31,31
VCOMP32,32
VCOMP33,33
VCOMP34,34
VCOMP35,35
VCOMP36,36
VCOMP37,37
VCOMP38,38
VCOMP39,39
VCOMP40,40
VCOMP41,41
VCOMP42,42
VCOMP43,43
VCOMP44,44
VCOMP45,45
VCOMP46,46
VCOMP47,47
VCOMP48,48
VCOMP49,49
VCOMP50,50
VCOMP51,51
VCOMP52,52
VCOMP53,53
VCOMP54,54
VCOMP55,55
VCOMP56,56
VCOMP57,57
VCOMP58,58
VCOMP59,59
VCOMP60,60
VCOMP61,61
VCOMP62,62
VCOMP63,63
VCOMP64,64
VCOMP65,65
