x;y;layer1;layer2;voltage1;voltage2;current
-7.43899;1608.62;TOP;GP1_GND_;-7.49487e-07;-7.49487e-07;-5.19553e-18
-7.43899;1608.62;GP1_GND_;L3;-7.49487e-07;-7.49487e-07;7.94034e-18
-7.43899;1608.62;L3;L4;-7.49487e-07;-7.49487e-07;5.19553e-18
-7.43899;1608.62;L4;P3V3;-7.49487e-07;-7.49487e-07;6.17582e-18
-7.43899;1608.62;P3V3;BOT;-7.49487e-07;-7.49487e-07;5.19553e-18
-7.43899;1808.62;TOP;GP1_GND_;4.46431e-06;4.46431e-06;2.07821e-17
-7.43899;1808.62;GP1_GND_;L3;4.46431e-06;4.46431e-06;-4.23485e-17
-7.43899;1808.62;L3;L4;4.46431e-06;4.46431e-06;-4.15642e-17
-7.43899;1808.62;L4;P3V3;4.46431e-06;4.46431e-06;-3.52904e-17
-7.43899;1808.62;P3V3;BOT;4.46431e-06;4.46431e-06;-4.15642e-17
-7.43899;2277.91;TOP;GP1_GND_;1.86713e-05;1.86713e-05;-0
-7.43899;2277.91;GP1_GND_;L3;1.86713e-05;1.86713e-05;-5.64646e-17
-7.43899;2277.91;L3;L4;1.86713e-05;1.86713e-05;-0
-7.43899;2277.91;L4;P3V3;1.86713e-05;1.86713e-05;-0
-7.43899;2277.91;P3V3;BOT;1.86713e-05;1.86713e-05;-0
-7.43899;2477.91;TOP;GP1_GND_;2.31641e-05;2.31641e-05;-0
-7.43899;2477.91;GP1_GND_;L3;2.31641e-05;2.31641e-05;-5.64646e-17
-7.43899;2477.91;L3;L4;2.31641e-05;2.31641e-05;-0
-7.43899;2477.91;L4;P3V3;2.31641e-05;2.31641e-05;-5.64646e-17
-7.43899;2477.91;P3V3;BOT;2.31641e-05;2.31641e-05;8.31285e-17
70.0075;463.671;TOP;GP1_GND_;-3.30772e-05;-3.30772e-05;-2.61575e-16
70.0075;463.671;GP1_GND_;L3;-3.30772e-05;-3.30772e-05;1.18449e-16
70.0075;463.671;L3;L4;-3.30772e-05;-3.30772e-05;1.74383e-16
70.0075;463.671;L4;P3V3;-3.30772e-05;-3.30772e-05;2.07286e-16
70.0075;463.671;P3V3;BOT;-3.30772e-05;-3.30772e-05;2.61575e-16
70.0075;999.103;TOP;GP1_GND_;-1.77087e-05;-1.77087e-05;-8.71916e-17
70.0075;999.103;GP1_GND_;L3;-1.77087e-05;-1.77087e-05;7.40306e-17
70.0075;999.103;L3;L4;-1.77087e-05;-1.77087e-05;8.71916e-17
70.0075;999.103;L4;P3V3;-1.77087e-05;-1.77087e-05;1.03643e-16
70.0075;999.103;P3V3;BOT;-1.77087e-05;-1.77087e-05;1.30787e-16
112.345;1125.84;TOP;GP1_GND_;-1.56134e-05;-1.56134e-05;4.85374e-17
112.345;1125.84;GP1_GND_;L3;-1.56134e-05;-1.56134e-05;-0
112.345;1125.84;L3;L4;-1.56134e-05;-1.56134e-05;-4.85374e-17
112.345;1125.84;L4;P3V3;-1.56134e-05;-1.56134e-05;-1.64844e-17
112.345;1125.84;P3V3;BOT;-1.56134e-05;-1.56134e-05;-4.85374e-17
112.345;2997.89;TOP;GP1_GND_;3.47448e-05;3.47448e-05;-9.70748e-17
112.345;2997.89;GP1_GND_;L3;3.47448e-05;3.47448e-05;-0
112.345;2997.89;L3;L4;3.47448e-05;3.47448e-05;9.70748e-17
112.345;2997.89;L4;P3V3;3.47448e-05;3.47448e-05;3.29688e-17
112.345;2997.89;P3V3;BOT;3.47448e-05;3.47448e-05;9.70748e-17
128.768;657.668;TOP;GP1_GND_;-2.93484e-05;-2.93484e-05;-1.08055e-16
128.768;657.668;GP1_GND_;L3;-2.93484e-05;-2.93484e-05;9.17446e-18
128.768;657.668;L3;L4;-2.93484e-05;-2.93484e-05;1.80091e-17
128.768;657.668;L4;P3V3;-2.93484e-05;-2.93484e-05;1.22326e-17
128.768;657.668;P3V3;BOT;-2.93484e-05;-2.93484e-05;9.00456e-18
192.561;1608.62;TOP;GP1_GND_;-9.319e-07;-9.319e-07;-2.59776e-18
192.561;1608.62;GP1_GND_;L3;-9.319e-07;-9.319e-07;1.14694e-17
192.561;1608.62;L3;L4;-9.319e-07;-9.319e-07;7.79329e-18
192.561;1608.62;L4;P3V3;-9.319e-07;-9.319e-07;7.94034e-18
192.561;1608.62;P3V3;BOT;-9.319e-07;-9.319e-07;5.19553e-18
192.561;1808.62;TOP;GP1_GND_;4.68974e-06;4.68974e-06;2.07821e-17
192.561;1808.62;GP1_GND_;L3;4.68974e-06;4.68974e-06;-5.64646e-17
192.561;1808.62;L3;L4;4.68974e-06;4.68974e-06;-4.15642e-17
192.561;1808.62;L4;P3V3;4.68974e-06;4.68974e-06;-4.23485e-17
192.561;1808.62;P3V3;BOT;4.68974e-06;4.68974e-06;-2.07821e-17
192.561;2277.91;TOP;GP1_GND_;1.88535e-05;1.88535e-05;8.31285e-17
192.561;2277.91;GP1_GND_;L3;1.88535e-05;1.88535e-05;-8.46969e-17
192.561;2277.91;L3;L4;1.88535e-05;1.88535e-05;-0
192.561;2277.91;L4;P3V3;1.88535e-05;1.88535e-05;-2.82323e-17
192.561;2277.91;P3V3;BOT;1.88535e-05;1.88535e-05;-0
192.561;2477.91;TOP;GP1_GND_;2.35722e-05;2.35722e-05;8.31285e-17
192.561;2477.91;GP1_GND_;L3;2.35722e-05;2.35722e-05;-3.10555e-16
192.561;2477.91;L3;L4;2.35722e-05;2.35722e-05;-2.49385e-16
192.561;2477.91;L4;P3V3;2.35722e-05;2.35722e-05;-1.97626e-16
192.561;2477.91;P3V3;BOT;2.35722e-05;2.35722e-05;-8.31285e-17
212.345;3116;TOP;GP1_GND_;3.2965;3.2965;-6.36189e-12
212.345;3116;GP1_GND_;L3;3.2965;3.2965;-4.32128e-12
212.345;3116;L3;L4;3.2965;3.2965;-6.36189e-12
212.345;3116;L4;P3V3;3.2965;3.2965;-2.16064e-12
212.345;3116;P3V3;BOT;3.2965;3.2965;6.36189e-12
269.878;757.786;TOP;GP1_GND_;-2.72055e-05;-2.72055e-05;-9.90501e-17
269.878;757.786;GP1_GND_;L3;-2.72055e-05;-2.72055e-05;4.58723e-17
269.878;757.786;L3;L4;-2.72055e-05;-2.72055e-05;4.50228e-17
269.878;757.786;L4;P3V3;-2.72055e-05;-2.72055e-05;4.58723e-17
269.878;757.786;P3V3;BOT;-2.72055e-05;-2.72055e-05;5.40273e-17
312.345;1125.84;TOP;GP1_GND_;-1.79402e-05;-1.79402e-05;-0
312.345;1125.84;GP1_GND_;L3;-1.79402e-05;-1.8566e-05;0.0030446
312.345;1125.84;L3;L4;-1.8566e-05;-1.87785e-05;0.0030446
312.345;1125.84;L4;P3V3;-1.87785e-05;-1.87785e-05;3.29688e-17
312.345;1125.84;P3V3;BOT;-1.87785e-05;-1.87785e-05;-0
312.345;2997.89;TOP;GP1_GND_;3.52773e-05;3.52773e-05;-0
312.345;2997.89;GP1_GND_;L3;3.52773e-05;3.50837e-05;0.00094214
312.345;2997.89;L3;L4;3.50837e-05;3.50179e-05;0.00094214
312.345;2997.89;L4;P3V3;3.50179e-05;3.50179e-05;-6.59376e-17
312.345;2997.89;P3V3;BOT;3.50179e-05;3.50179e-05;-0
343.098;657.668;TOP;GP1_GND_;-3.02914e-05;-3.02914e-05;-1.08055e-16
343.098;657.668;GP1_GND_;L3;-3.02914e-05;-3.17072e-05;0.00127795
343.098;657.668;L3;L4;-3.17072e-05;-3.21881e-05;0.00127795
343.098;657.668;L4;P3V3;-3.21881e-05;-3.21881e-05;-3.66978e-17
343.098;657.668;P3V3;BOT;-3.21881e-05;-3.21881e-05;-1.80091e-17
378.324;3576.05;TOP;GP1_GND_;4.32134e-05;4.32134e-05;-0
378.324;3576.05;GP1_GND_;L3;4.32134e-05;4.11701e-05;0.00184432
378.324;3576.05;L3;L4;4.11701e-05;4.04761e-05;0.00184432
378.324;3576.05;L4;P3V3;4.04761e-05;4.04761e-05;-1.46791e-16
378.324;3576.05;P3V3;BOT;4.04761e-05;4.04761e-05;-1.44073e-16
412.345;3116;TOP;GP1_GND_;3.2965;3.2965;-6.36189e-12
412.345;3116;GP1_GND_;L3;3.2965;3.2965;-6.48193e-12
412.345;3116;L3;L4;3.2965;3.2965;-0
412.345;3116;L4;P3V3;3.2965;3.2965;-2.16064e-12
412.345;3116;P3V3;BOT;3.2965;3.2965;6.36189e-12
408.794;1619.93;TOP;GP1_GND_;-5.45018e-07;-5.45018e-07;-1.96975e-18
408.794;1619.93;GP1_GND_;L3;-5.45018e-07;2.78514e-06;-0.00300582
408.794;1619.93;L3;L4;2.78514e-06;3.91613e-06;-0.00300582
408.794;1619.93;L4;P3V3;3.91613e-06;3.91613e-06;-1.22326e-17
408.794;1619.93;P3V3;BOT;3.91613e-06;3.91613e-06;-1.35068e-17
410.85;1770.41;TOP;GP1_GND_;4.23719e-06;4.23719e-06;1.5758e-17
410.85;1770.41;GP1_GND_;L3;4.23719e-06;6.28e-06;-0.00184386
410.85;1770.41;L3;L4;6.28e-06;6.97378e-06;-0.00184386
410.85;1770.41;L4;P3V3;6.97378e-06;8.08168e-06;-0.001
410.85;1770.41;P3V3;BOT;8.08168e-06;8.45795e-06;-0.001
417.154;2344.24;TOP;GP1_GND_;2.10263e-05;2.06501e-05;0.001
417.154;2344.24;GP1_GND_;L3;2.06501e-05;2.02746e-05;0.000338919
417.154;2344.24;L3;L4;2.02746e-05;2.01471e-05;0.000338919
417.154;2344.24;L4;P3V3;2.01471e-05;2.01471e-05;-7.33956e-17
417.154;2344.24;P3V3;BOT;2.01471e-05;2.01471e-05;-7.20365e-17
417.154;2495.25;TOP;GP1_GND_;2.44194e-05;2.44194e-05;-5.40273e-17
417.154;2495.25;GP1_GND_;L3;2.44194e-05;2.37886e-05;0.000569376
417.154;2495.25;L3;L4;2.37886e-05;2.35743e-05;0.000569376
