refdes,pin,voltage,current,rpin
VCOMP18,VCOMP18-0,11.9962,0.805556,0
VCOMP18,VCOMP18-1,11.9962,0.805556,0
VCOMP18,VCOMP18-2,11.9962,0.805556,0
VCOMP18,VCOMP18-3,-0.00135618,-1.20833,0
VCOMP18,VCOMP18-4,-0.00135618,-1.20833,0
VCOMP41,VCOMP41-0,3.2978,0.231457,0
VCOMP41,VCOMP41-1,3.2978,0.231457,0
VCOMP41,VCOMP41-2,3.2978,0.231457,0
VCOMP41,VCOMP41-3,3.2978,0.231457,0
VCOMP41,VCOMP41-4,3.2978,0.231457,0
VCOMP41,VCOMP41-5,3.2978,0.231457,0
VCOMP41,VCOMP41-6,3.2978,0.231457,0
VCOMP41,VCOMP41-7,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-8,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-9,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-10,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-11,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-12,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-13,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-14,-0.000578672,-0.180022,0
VCOMP41,VCOMP41-15,-0.000578672,-0.180022,0
VCOMP43,VCOMP43-0,1.79867,0.16125,0
VCOMP43,VCOMP43-1,1.79867,0.16125,0
VCOMP43,VCOMP43-2,1.79867,0.16125,0
VCOMP43,VCOMP43-3,1.79867,0.16125,0
VCOMP43,VCOMP43-4,-0.000682743,-0.129,0
VCOMP43,VCOMP43-5,-0.000682743,-0.129,0
VCOMP43,VCOMP43-6,-0.000682743,-0.129,0
VCOMP43,VCOMP43-7,-0.000682743,-0.129,0
VCOMP43,VCOMP43-8,-0.000682743,-0.129,0
VCOMP45,VCOMP45-0,5.49723,1.86635,0
VCOMP45,VCOMP45-1,-0.00090573,-1.86635,0
VCOMP47,VCOMP47-0,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-1,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-2,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-3,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-4,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-5,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-6,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-7,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-8,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-9,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-10,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-11,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-12,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-13,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-14,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-15,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-16,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-17,-5.50028,-0.0137889,0
VCOMP47,VCOMP47-18,-0.000526046,0.0275778,0
VCOMP47,VCOMP47-19,-0.000526046,0.0275778,0
VCOMP47,VCOMP47-20,-0.000526046,0.0275778,0
VCOMP47,VCOMP47-21,-0.000526046,0.0275778,0
VCOMP47,VCOMP47-22,-0.000526046,0.0275778,0
VCOMP47,VCOMP47-23,-0.000526046,0.0275778,0
